First,Last
Marcus,Pettersson
Buddy,Robinson
Kevin,Labanc
Vladislav,Gavrikov
Blake,Coleman
Dylan,Holloway
Marco,Rossi
Garnet,Hathaway
Alexandre,Carrier
Yakov,Trenin
Justin,Faulk
Ondrej,Kase
Calen,Addison
Mario,Ferraro
Nicolas,Hague
Adam,Boqvist
Chris,Kreider
Alex,Goligoski
David,Krejci
Josh,Bailey
Zach,Sanford
Wyatt,Johnston
Torey,Krug
Filip,Roos
Oliver,Ekman-Larsson
Valeri,Nichushkin
Erik,Gudbranson
Mason,Marchment
Mathieu,Joseph
Joe,Pavelski
Joe,Veleno
Logan,O'Connor
Austin,Watson
Filip,Zadina
Artem,Zub
Oliver,Bjorkstrand
Elmer,Soderblom
Auston,Matthews
Casey,Cizikas
Jack,Eichel
MacKenzie,Weegar
Eeli,Tolvanen
Ty,Dellandrea
Travis,Konecny
Matt,Nieto
Martin,Fehervary
Morgan,Frost
Jonathan,Marchessault
Ben,Meyers
Colton,Sissons
Sam,Bennett
Anton,Stralman
Alex,Pietrangelo
Andre,Burakovsky
Kevin,Rooney
Miro,Heiskanen
Jack,Roslovic
Evgeny,Kuznetsov
Rasmus,Sandin
John,Carlson
Gustav,Forsling
Patric,Hornqvist
JJ,Peterka
Ryan,Pulock
Mikael,Granlund
Frank,Vatrano
Lawson,Crouse
Kurtis,MacDermid
Victor,Hedman
Jared,Spurgeon
Kirill,Kaprizov
Erik,Johnson
Gustav,Nyquist
Carter,Verhaeghe
Ivan,Barbashev
Anze,Kopitar
Tanner,Pearson
Brandon,Hagel
Justin,Holl
Noah,Hanifin
Dylan,Coghlan
Vincent,Trocheck
Jordan,Staal
Patrik,Laine
Tyler,Johnson
Rasmus,Asplund
Vasily,Podkolzin
Ryan,Murray
Brandon,Duhaime
Tyler,Bertuzzi
Ivan,Provorov
Jason,Robertson
Oliver,Wahlstrom
Cody,Glass
Jacob,Middleton
Sam,Reinhart
Steven,Stamkos
Blake,Lizotte
Brady,Skjei
Nils,Aman
Dillon,Dube
Mattias,Samuelsson
Dmitry,Kulikov
Mikey,Anderson
Jaden,Schwartz
Cam,Fowler
Vladimir,Tarasenko
Rudolfs,Balcers
Troy,Terry
Jakob,Silfverberg
Milan,Lucic
Max,Jones
Gustav,Lindstrom
Peyton,Krebs
Nathan,Beaulieu
Nicolas,Roy
Jesper,Fast
Ryan,Poehling
Ryan,O'Reilly
Timo,Meier
Noah,Gregor
Erik,Gustafsson
Filip,Hronek
Tage,Thompson
